,Yield [%],RT-MS [min],RT-FID [min],Analyte
A1,104.0,4.842,4.853,CCCCCCCCCCCC
A2,53.0,4.837,4.849,CCCCCCCCCCCC
A3,20.0,4.837,4.848,CCCCCCCCCCCC
B1,106.0,3.453,3.468,BrC1=CC=CC=C1
B2,53.0,3.453,3.467,BrC1=CC=CC=C1
B3,17.0,3.453,3.473,BrC1=CC=CC=C1
C1,95.0,3.665,3.676,CC1=CN=CC(C)=C1
C2,50.0,3.664,3.676,CC1=CN=CC(C)=C1
C3,17.0,3.665,3.676,CC1=CN=CC(C)=C1
D1,87.0,5.626,5.637,C12=C(CNCC2)C=CC=C1
D2,44.0,5.626,5.636,C12=C(CNCC2)C=CC=C1
D3,14.0,5.626,5.635,C12=C(CNCC2)C=CC=C1
E1,,,,
E2,,,,
E3,,,,
F1,106.0,3.624,3.641,CC1=CC(C)=CC(C)=C1
F2,53.0,3.625,3.639,CC1=CC(C)=CC(C)=C1
F3,18.0,3.625,3.638,CC1=CC(C)=CC(C)=C1
G1,82.0,7.736,7.743,C1(NC2=C3C=CC=C2)=C3C=CC=C1
G2,42.0,7.73,7.738,C1(NC2=C3C=CC=C2)=C3C=CC=C1
G3,14.0,7.73,7.737,C1(NC2=C3C=CC=C2)=C3C=CC=C1
H1,91.0,7.461,7.471,O=C(CC1=CC=CC=C1)CC2=CC=CC=C2
H2,45.0,7.461,7.469,O=C(CC1=CC=CC=C1)CC2=CC=CC=C2
H3,14.0,7.461,7.466,O=C(CC1=CC=CC=C1)CC2=CC=CC=C2
I1,104.0,5.614,5.621,FC(C1=NC2=CC=CC=C2C(Cl)=C1)(F)F
I2,,,,
I3,17.0,5.609,5.619,FC(C1=NC2=CC=CC=C2C(Cl)=C1)(F)F
J1,104.0,8.599,8.603,N#CC(C1=CC=CC=C1)(C2=CC=CC=C2)CCBr
J2,52.0,8.593,8.598,N#CC(C1=CC=CC=C1)(C2=CC=CC=C2)CCBr
J3,17.0,8.593,8.595,N#CC(C1=CC=CC=C1)(C2=CC=CC=C2)CCBr
K1,104.0,6.472,6.483,O=S(C1=CC=CC=C1)(N(C)C)=O
K2,54.0,6.472,6.478,O=S(C1=CC=CC=C1)(N(C)C)=O
K3,17.0,6.466,6.475,O=S(C1=CC=CC=C1)(N(C)C)=O
