1,2,3
CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC
BrC1=CC=CC=C1,BrC1=CC=CC=C1,BrC1=CC=CC=C1
CC1=CN=CC(C)=C1,CC1=CN=CC(C)=C1,CC1=CN=CC(C)=C1
C12=C(CNCC2)C=CC=C1,C12=C(CNCC2)C=CC=C1,C12=C(CNCC2)C=CC=C1
CCCCCCCCCC#N,CCCCCCCCCC#N,CCCCCCCCCC#N
CC1=CC(C)=CC(C)=C1,CC1=CC(C)=CC(C)=C1,CC1=CC(C)=CC(C)=C1
C1(NC2=C3C=CC=C2)=C3C=CC=C1,C1(NC2=C3C=CC=C2)=C3C=CC=C1,C1(NC2=C3C=CC=C2)=C3C=CC=C1
O=C(CC1=CC=CC=C1)CC2=CC=CC=C2,O=C(CC1=CC=CC=C1)CC2=CC=CC=C2,O=C(CC1=CC=CC=C1)CC2=CC=CC=C2
FC(C1=NC2=CC=CC=C2C(Cl)=C1)(F)F,FC(C1=NC2=CC=CC=C2C(Cl)=C1)(F)F,FC(C1=NC2=CC=CC=C2C(Cl)=C1)(F)F
N#CC(C1=CC=CC=C1)(C2=CC=CC=C2)CCBr,N#CC(C1=CC=CC=C1)(C2=CC=CC=C2)CCBr,N#CC(C1=CC=CC=C1)(C2=CC=CC=C2)CCBr
O=S(C1=CC=CC=C1)(N(C)C)=O,O=S(C1=CC=CC=C1)(N(C)C)=O,O=S(C1=CC=CC=C1)(N(C)C)=O
